"","X","LGA","variable.x","Homicides","Assaults","Sexual Offences","Abductions","Robberies","Blackmail","A70.Stalking..harassment.and.threatening.behaviour","A80.Dangerous.and.negligent.acts.endangering.people","B10.Arson","B20.Property.damage","B30.Burglary.Break.and.enter","B40.Theft","B50.Deception","B60.Bribery","Drug.Dealing","C20.Cultivate.or.manufacture.drugs","C30.Drug.use.and.possession","C90.Other.drug.offences","D10.Weapons.and.explosives.offences","D20.Disorderly.and.offensive.conduct","D30.Public.nuisance.offences","D40.Public.security.offences","E10.Justice.procedures","E20.Breaches.of.orders","F10.Regulatory.driving.offences","F20.Transport.regulation.offences","F30.Other.government.regulatory.offences","F90.Miscellaneous.offences","variable.y","X..Employment.to.population","X..Labour.force.participation","Unemployment.Rate","Advanced.Diploma.and.Diploma.Level","Bachelor.Degrees","Certificate.Education","Certificate.III...IV.Level","Certificate.Level..nfd","Employed..away.from.work","Employed..worked.full.time","Employed..worked.part.time","Graduate.Diploma.and.Graduate.Certificate.Level","Lived.at.different.address.1.year.ago","Lived.at.different.address.5.years.ago","Lived.at.same.address.1.year.ago","Lived.at.same.address.5.years.ago","Not.in.the.labour.force","Persons.aged.15.years.and.over","Postgraduate.Degree.Level","Total.Certificate.Level","Total.Labour.Force","Unemployed..looking.for.work","Region","X2007.08","X2008.09","X2009.10","X2010.11","X2011.12","X2012.13","X2013.14","X2014.15","X2015.16","Drug.Hospitalisations","All","variable","X.1..199.......","Low.Income.Households","High.Income.Households","X.200..299...","X.300..399","X.400..599","X.600..799","X.800..999."
"1",1,"ALPINE","as.numeric(as.character(cr2$Incidents.Recorded))",8,323,107,1,1,NA,51,41,43,506,327,786,84,NA,43,48,144,NA,115,294,30,NA,26,162,2,22,25,18,"Value",52.9,54.9,3.8,984,1114,130,1991,211,400,3005,2088,265,1418,3650,9717,7094,3807,10384,220,2329,5705,216,"hume",7,18,7,11,19,9,NA,11,19,18,3207,"as.numeric(as.character(inc$Value))",1590,1294,474,2778,2868,3098,2400,1636
"2",2,"ARARAT","as.numeric(as.character(cr2$Incidents.Recorded))",6,1175,201,5,5,NA,152,119,140,1429,660,1858,168,NA,72,27,349,NA,233,699,87,NA,220,672,2,4,29,19,"Value",48.2,50.7,5.2,769,749,106,1620,164,316,2726,1676,157,1315,3076,8578,6390,4158,9798,96,1893,4972,257,"grampians",17,12,14,22,14,15,20,17,32,27,8331,"as.numeric(as.character(inc$Value))",1314,1146,467,2270,2506,2794,2358,1428
"3",3,"BALLARAT","as.numeric(as.character(cr2$Incidents.Recorded))",20,7543,1496,64,247,20,887,660,1014,4037,11431,17800,2381,1,372,162,1278,4,1340,2959,184,7,1028,4984,4,15,107,38,"Value",54.4,58.5,7.1,6969,10556,1048,14646,1270,2571,25472,16673,2275,15741,39718,76451,48543,28977,82219,2747,16964,48127,3415,"grampians",100,137,143,125,148,172,147,218,202,312,60083,"as.numeric(as.character(inc$Value))",12210,11318,5509,18544,17936,20514,17582,13074
"4",4,"BANYULE","as.numeric(as.character(cr2$Incidents.Recorded))",18,5272,902,52,344,22,996,452,479,7967,9603,18516,2347,1,313,136,1318,NA,860,990,247,3,674,6889,5,44,49,27,"Value",59,62.4,5.5,9683,20555,709,12859,1693,2846,35554,20514,3767,14661,38022,97542,70078,32622,99850,7472,15261,62344,3429,"north/west",183,145,223,142,157,154,181,289,241,301,58526,"as.numeric(as.character(inc$Value))",15470,16762,9962,18006,17930,22114,18818,16326
"5",5,"BASS COAST","as.numeric(as.character(cr2$Incidents.Recorded))",14,2373,451,19,30,1,501,257,211,2749,2278,5221,447,1,150,115,599,1,286,1284,110,1,246,1184,3,27,94,25,"Value",45.7,48.8,6.4,2466,2531,319,5421,589,988,6292,5259,583,4954,12304,24722,16160,11979,27459,532,6327,13400,857,"gippsland",42,91,38,33,38,49,54,60,76,91,18678,"as.numeric(as.character(inc$Value))",3586,3032,1141,6688,6602,7686,5526,3408
"6",6,"BAW BAW","as.numeric(as.character(cr2$Incidents.Recorded))",12,2453,546,14,41,4,558,256,353,2894,2417,6622,759,NA,256,102,742,NA,606,1069,92,NA,272,1383,2,122,103,30,"Value",54.2,57.4,5.5,3502,3771,480,8404,733,1346,12364,7548,881,6575,17368,37245,24653,13956,39188,808,9616,22495,1235,"gippsland",42,29,31,39,29,45,68,46,89,86,21708,"as.numeric(as.character(inc$Value))",5504,4952,2055,7908,7918,9668,7744,5626
"7",7,"BAYSIDE","as.numeric(as.character(cr2$Incidents.Recorded))",16,2196,498,26,203,22,453,146,158,5234,6014,12957,1275,NA,143,61,902,5,527,995,105,3,217,1242,1,32,43,13,"Value",58.5,61.3,4.6,8392,20665,463,6248,1367,1989,27559,16443,3068,13149,34667,75929,52089,26182,78669,7010,8073,48202,2215,"southern",135,116,78,87,143,192,259,287,317,291,33487,"as.numeric(as.character(inc$Value))",10992,10980,5240,9476,10884,14168,11820,9882
"8",8,"BENALLA","as.numeric(as.character(cr2$Incidents.Recorded))",10,1215,255,10,7,NA,191,104,189,1520,792,2019,217,2,63,64,293,NA,221,329,94,NA,126,640,1,10,68,20,"Value",48.4,51.1,5.3,1053,939,174,2249,221,402,3240,2012,224,1678,4276,10766,7745,4784,11686,182,2641,5974,319,"hume",20,30,25,41,25,20,21,35,34,32,8460,"as.numeric(as.character(inc$Value))",1964,1584,482,2894,3252,3404,2826,1806
"9",9,"BOROONDARA","as.numeric(as.character(cr2$Incidents.Recorded))",18,2999,799,52,375,25,566,272,263,6781,11596,12360,2153,1,221,68,1198,2,573,1731,214,6,326,1268,3,27,37,20,"Value",59.4,62.9,5.6,12170,41894,626,7790,1788,3507,49766,28984,6066,26540,66101,128024,85258,44498,138430,17023,10211,87099,4837,"eastern",160,204,220,177,276,222,372,334,353,359,43954,"as.numeric(as.character(inc$Value))",20532,20810,10785,16360,17182,23148,20632,19006
"10",10,"BRIMBANK","as.numeric(as.character(cr2$Incidents.Recorded))",75,11345,1459,144,1866,44,1560,828,1251,348,6236,15443,5765,4,1688,580,3384,2,2657,2104,272,6,1488,8886,6,131,55,33,"Value",50.5,56.4,10.4,12681,19191,1465,19776,2543,4696,48442,26894,1716,22014,57237,155106,111473,59015,158457,4398,23781,89293,9257,"north/west",183,217,198,273,289,373,503,569,606,608,67660,"as.numeric(as.character(inc$Value))",25904,20618,7998,42348,29264,31900,32786,24870
